120																																		
	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X3'	Y3'	Z3'	X6'	Y6'	Z6'									
147	1.217	-693.32715	1210.53149	885.40747	400.80103	3959.66846	821.61346	-39.58049	3642.49976	730.70844	-549.70935	713.3573	999.37982	36.17315	3555.70557	1013.76648				653.74666														
148	1.225	-693.34601	1210.47363	885.40802	398.66016	3959.83203	822.01208	-42.08766	3643.1355	729.85309	-551.40222	713.31183	1000.08197	32.91925	3555.89355	1013.47388				651.25835														
149	1.233	-693.32355	1210.41931	885.47711	28.81504	3557.16724	1012.68799	395.46283	3959.15771	822.72504	-44.4039	3643.98511	729.87848	-549.46869	713.19775	999.30811				1088.78638														
150	1.242	-693.34131	1210.39734	885.47369	25.27077	3557.25342	1012.34979	396.63092	3961.13916	822.47546	-47.28817	3644.54028	729.27905	-547.13837	715.7298	997.92883				1089.97223														
151	1.25	-693.30133	1210.41528	885.4093	395.95801	3962.07886	822.81213	-49.60742	3645.45874	729.26758	21.45826	3558.12891	1012.16205							643.69391														
152	1.258	-693.33234	1210.53186	885.37628	-550.40552	713.46606	999.64709	392.31335	3961.68188	824.21552	-52.69773	3646.32104	728.87964	17.71228	3558.80688	1012.1701				1085.64569														
153	1.267	-693.36914	1210.51563	885.43176	-550.32129	713.13629	999.97797	-54.90505	3647.32642	728.62341	13.87379	3559.60791	1011.76385							638.46409														
154	1.275	-693.30219	1210.4137	885.46271	-549.56635	713.33496	999.32501	-57.92523	3648.16138	728.73969	10.0143	3560.55054	1011.51831							635.37696														
155	1.283	-693.3316	1210.37598	885.4798	-549.46869	713.19775	999.30811	6.3936	3561.41553	1011.67963	-62.73979	3648.25244	729.37701							699.7252														
156	1.292	-693.36157	1210.49426	885.3974	2.45473	3562.8501	1011.59259	-63.29708	3650.24805	728.72198										630.06449														
157	1.3	-693.37457	1210.55981	885.39795	-547.6095	714.69116	998.29596	-0.76594	3563.06372	1011.82794	-66.34631	3651.18164	728.72559							692.60863														
158	1.308	-693.328	1210.44971	885.43225	-547.60419	715.04156	998.5752	-4.27504	3564.85889	1011.94897	-65.74183	3656.08472	727.48328							689.05296														
159	1.317	-693.34668	1210.39502	885.47186	-550.91443	713.0838	999.91968	-7.70882	3565.39331	1012.30743	-71.87925	3653.96899	729.33527							685.63786														
160	1.325	-693.32715	1210.33569	885.49451	-549.02454	715.13519	998.76569	-10.92613	3567.04834	1012.48346	136.03584	3432.16284	760.18408							682.40102														
161	1.333	-693.33081	1210.45129	885.3844	-14.13151	3567.94946	1012.76587	-77.06848	3656.51807	729.99579	132.92746	3432.53955	759.71552							616.26233														
162	1.342	-693.30914	1210.52515	885.37262	-17.17157	3569.02881	1013.33063	-80.21992	3657.88501	730.3822	130.27206	3433.64819	759.94275							613.08922														
163	1.35	-693.31415	1210.49097	885.37769	-549.83282	713.27631	999.44403	-20.11092	3569.68115	1014.10168	-82.86639	3658.75562	730.79358	126.70753	3433.83276	760.53479				673.20323														
164	1.358	-693.33148	1210.37366	885.50378	-22.91688	3570.8562	1014.9483	-85.41051	3660.48975	731.68408	123.54297	3434.7439	761.51672							607.92097														
165	1.367	-693.39606	1210.35583	885.52869	-25.29343	3571.43994	1016.02484	-87.84769	3661.39429	732.74988	120.06764	3435.07666	762.4516							605.54837														
166	1.375	-693.33527	1210.50757	885.41449	-28.10175	3572.4082	1017.40509	-90.44626	3661.7146	733.99945	117.30083	3435.72266	763.81647							602.88901														
167	1.383	-693.34235	1210.57288	885.36639	-547.95392	714.92059	998.39862	-30.55118	3572.59131	1019.10663	-92.94363	3662.46191	734.88055	114.2687	3436.25732	765.1579				662.79117														
168	1.392	-693.37817	1210.4856	885.3894	-549.6861	714.10187	999.24579	-33.03028	3573.18726	1020.86572	111.29911	3436.70972	766.63068	323.06226	3970.91675	854.35339				660.34789														
169	1.4	-693.3363	1210.39734	885.4519	-550.07813	713.12128	999.9104	-35.22628	3573.7478	1022.97308	-96.98275	3662.98926	738.54578	108.90235	3437.06787	768.51733	318.40829	3971.46069	856.57874	658.11002														
170	1.408	-693.33673	1210.3739	885.45966	-550.25494	712.73645	1000.04724	-37.23546	3573.51416	1025.39063	106.54639	3437.60132	770.76904	308.68192	3969.20264	859.18152				656.10127														
